SubscriptionId,VMName,ResourceGroup,OldVault,NewVault,OldVaultRG,NewVaultRG,PolicyName
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307486l013,sdc3-07486-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307486l014,sdc3-07486-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,EnhancedPolicyDaily7PM-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307486l212,sdc3-07486-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l039,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l040,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l041,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l042,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l043,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l044,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
c5ea61f3-1975-4b59-9e9c-66128b8989f3,srsdc307560l045,sdc3-07560-prod-rg,sdc3-prod-internet-rsv,sdc3-prod-internet-grs-01-rsv,sdc3-07592-prod-rg,sdc3-07592-prod-rg,DefaultPolicy-New
